ID,Name,Typ,Gerät,Voraussetzung,Piktogramm,Hinweise
1,Schwingen im Stütz,,Barren,,https://www.bundesjugendspiele.de/wp-content/uploads/photos/Geraetturnen_UE1/neu/SchwingenImStuetz.jpg,
2,Stützen,Element,Barren,,-,
3,Stützeln,Element,Barren,2,?,
4,Schwingen,Element,Barren,2,https://www.bundesjugendspiele.de/wp-content/uploads/photos/Geraetturnen_UE1/neu/SchwingenImStuetz.jpg,
5,Aufgrätschen,Element,Barren,4,?,
6,Schwingen (Grätschen im Schwung),Element,Barren,4,?,
7,Grätschsitz (mit/ihne Hände),Element,Barren,4,https://skv-rutesheim.de/turnen/Aufgaben/images/s162_1.gif http://www.sportunterricht.de/turnen/bjspiele/schwingen-graet7.gif,
8,Rolle vw. (aus Grätschsitz),Element,Barren,7,https://i.ytimg.com/vi/K9X-ejR2Or8/maxresdefault.jpg,
9,Oberarmstand (aus Grätschsitz),Element,Barren,8,https://www.gym-elements.com/readfile.php?fileid=31,
10,Rolle vw. (aus Schwung),Element,Barren,8,?,
11,Oberarmstand (aus Schwung),Element,Barren,9,?,
12,Oberarmstand (aus Schwebesitz),Element,Barren,9,?,
13,Schwebesitz,Element,Barren,2,https://www.gym-elements.com/readfile.php?fileid=165,
14,Spitzwinkelsitz,Element,Barren,13,https://perform-better.de/thumbnail/da/3b/be/1594284830/Barren_800x800.jpg,
15,Schwebekippe in Stütz/Oberarmhang,Element,Barren,Kippbewegung,http://www.gymdrills4profs.com/imm/skill-drills-parallel-bars/pb_kip.gif,
16,Schwebekippe in Stütz/Oberarmhang,Angang,Barren,Kippbewegung,http://www.gymdrills4profs.com/imm/skill-drills-parallel-bars/pb_kip.gif,
17,Rückfallkippe (unter Holmen),Element,Barren,Kippbewegung,https://www.gym-elements.com/dashimg/33/Fallkippe-in-den-St%C3%BCtz-Fallkippe.png,
18,Oberarmkippe ,Element,Barren,Kippbewegung,https://www.gym-elements.com/dashimg/30/Oberarmkippe-Oberarmkippe.png,
19,HS,Element,Barren,HS,,
20,HS 1/2 bzw. 1/1 Drehung,Element,Barren,19,https://www.gym-elements.com/dashimg/288/Alle-Handst%C3%A4nde-m-1/2-Dr.-(-auch-m.-2-s.)-.png https://www.gym-elements.com/dashimg/530/Alle-1/1-Dr.-i.-Handstand-.png,
21,Schweizer Handstand,Element,Barren,19,"https://www.gym-elements.com/dashimg/516/Jeses-Heben-m.-geb.-Armen-u-gestr.-H%C3%BCften,-o.-gestr.-Armen-u.-geb.-H%C3%BCften-i.-d.-Hdst.-a.-1-o.-2.-Hol-.png",
22,Stemme vw. in Stütz,Element,Barren,,https://www.gym-elements.com/dashimg/168/Stemme-vw.-i.-d.-St%C3%BCtz-.png,
23,Stemme rw. in Stütz,Element,Barren,,https://www.gym-elements.com/dashimg/32/Stemme-r%C3%BCckw%C3%A4rts-in-den-St%C3%BCtz-Stemme-Rw.png,
24,Rolle rw.,Element,Barren,18,https://www.gym-elements.com/dashimg/216/Rolle-r%C3%BCckw%C3%A4rts-i.d.-Hang-oder-St%C3%BCtz-.png,
25,Stützkehre rw. in Stütz/Oberarmhang,Element,Barren,4,https://www.gym-elements.com/dashimg/222/St%C3%BCtzkehre-rw.-i.d.-Oberarmst%C3%BCtz-(mind.-waagrecht)-.png https://www.gym-elements.com/dashimg/524/St%C3%BCtzkehre-rw.-i.-d.-St%C3%BCtz-.png,Methodikkarte
26,Stützkehre vw. in Stütz/Oberarmhang,Element,Barren,4,https://www.gym-elements.com/dashimg/220/St%C3%BCtzkehre-vorw%C3%A4rts-in-den-St%C3%BCtz-.png https://www.gym-elements.com/dashimg/221/St%C3%BCtzkehre-vorw%C3%A4rts-i.d.-Oberarmst%C3%BCtz-.png,
27,Felge m. Wandern in den Hang,Element,Barren,17,https://www.gym-elements.com/dashimg/610/Felge-m.-Wandern-i.-d.-Hang-.png,
28,Schwabenkippe mit 1/2 Drehung in Stütz,Element,Barren,15,https://www.gym-elements.com/dashimg/612/Schwabenkippe-m.-1/2.-Dr.-i.d.-St%C3%BCtz-.png,
